141;CHA DUB;Charadrius dubius; ;Pikkutylli;Mindre strandpipare;Little Ringed Plover;24;0
142;CHA HIA;Charadrius hiaticula; ;Tylli;Större strandpipare;Common Ringed Plover;24;0
143;CHA ALE;Charadrius alexandrinus; ;Mustajalkatylli;Svartbent strandpipare;Kentish Plover;24;0
144;CHA LES;Charadrius leschenaultii; ;Aavikkotylli;Ökenpipare;Greater Sand Plover;24;0
145;CHA ASI;Charadrius asiaticus;;Kaspiantylli;Kaspisk pipare;Caspian Plover;24;0
146;CHA VER;Charadrius veredus; ;Gobintylli;Orientpipare;Oriental Plover;24;0
147;CHA MOR;Charadrius morinellus; ;Keräkurmitsa;Fjällpipare;Eurasian Dotterel;24;0
148;PLU FUL;Pluvialis fulva; ;Siperiankurmitsa;Sibirisk tundrapipare;Pacific Golden Plover;24;0
149;PLU APR;Pluvialis apricaria; ;Kapustarinta;Ljungpipare;European Golden Plover;24;0
150;PLU SQU;Pluvialis squatarola; ;Tundrakurmitsa;Kustpipare;Grey Plover;24;0
151;VAN GRE;Vanellus gregarius; ;Arohyyppä;Stäppvipa;Sociable Lapwing;24;0
152;VAN LEU;Vanellus leucurus; ;Suohyyppä;Sumpvipa;White-tailed Lapwing;24;0
153;VAN VAN;Vanellus vanellus; ;Töyhtöhyyppä;Tofsvipa;Northern Lapwing;24;0
154;CAL CAN;Calidris canutus; ;Isosirri;Kustsnäppa;Red Knot;25;0
155;CAL ALB;Calidris alba; ;Pulmussirri;Sandlöpare;Sanderling;25;0
156;CAL LIS;Calidris ruficollis; ;Rusokaulasirri;Rödhalsad snäppa;Red-necked Stint;25;0
157;CAL UTA;Calidris minuta; ;Pikkusirri;Småsnäppa;Little Stint;25;0
158;CAL TEM;Calidris temminckii; ;Lapinsirri;Mosnäppa;Temminck's Stint;25;0
159;CAL LLA;Calidris minutilla;B;Amerikansirri;Dvärgsnäppa;Least Sandpiper;25;0
160;CAL FUS;Calidris fuscicollis; ;Valkoperäsirri;Vitgumpsnäppa;White-rumped Sandpiper;25;0
161;CAL BAI;Calidris bairdii; ;Eskimosirri;Gulbröstad snäppa;Baird's Sandpiper;25;0
162;CAL MEL;Calidris melanotos; ;Palsasirri;Tuvsnäppa;Pectoral Sandpiper;25;0
163;CAL ACU;Calidris acuminata; ;Suippopyrstösirri;Spetsstjärtad snäppa;Sharp-tailed Sandpiper;25;0
164;CAL FER;Calidris ferruginea; ;Kuovisirri;Spovsnäppa;Curlew Sandpiper;25;0
165;CAL HIM;Calidris himantopus; ;Pitkäkoipisirri;Styltsnäppa;Stilt Sandpiper;25;0
166;CAL MAR;Calidris maritima; ;Merisirri;Skärsnäppa;Purple Sandpiper;25;0
167;CAL ALP;Calidris alpina; ;Suosirri;Kärrsnäppa;Dunlin;25;0
168;LIM FAL;Limicola falcinellus; ;Jänkäsirriäinen;Myrsnäppa;Broad-billed Sandpiper;25;0
169;TRY SUB;Tryngites subruficollis; ;Tundravikla;Prärielöpare;Buff-breasted Sandpiper;25;0
170;PHI PUG;Philomachus pugnax; ;Suokukko;Brushane;Ruff;25;0
171;LYM MIN;Lymnocryptes minimus; ;Jänkäkurppa;Dvärgbeckasin;Jack Snipe;25;0
